nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
E,E01027112,26.838,14.1,9.1,26.838,3,3,12243.5,3,2
E,E01010984,26.837,15.2,11.6,26.837,3,3,12245.5,3,2
E,E01002457,26.837,16.9,11.1,26.837,3,3,12245.5,3,2
W,W01001445,22.5,16,13,26.83617945,4,3,12247,3,2
E,E01022993,26.835,5.1,7.3,26.835,3,3,12248,3,2
E,E01029328,26.834,12.6,10.5,26.834,3,3,12249,3,2
E,E01000870,26.832,18.6,14.2,26.832,3,3,12250,3,2
E,E01018672,26.831,16.4,13.9,26.831,3,3,12251,3,2
E,E01009626,26.83,14.9,10.1,26.83,3,3,12252.5,3,2
E,E01025866,26.83,16.4,15.5,26.83,3,3,12252.5,3,2
S,S01011125,28.30006392,14,14,26.82543573,3,3,12254,3,2
S,S01006718,27.76256439,15,12,26.8243873,3,3,12255,3,2
E,E01025806,26.823,18.2,13.7,26.823,3,3,12256,3,2
E,E01026652,26.822,14.1,11.1,26.822,3,3,12257,3,2
W,W01001013,22.4,18,14,26.81939346,4,3,12258,3,2
S,S01007833,29.02590357,18,14,26.81625816,3,3,12259,3,2
E,E01006353,26.815,14.9,11.7,26.815,3,3,12260,3,2
S,S01012766,28.84741197,19,13,26.81397849,3,3,12261,3,2
W,W01001311,23.2,16,10,26.80895066,4,3,12262,3,2
E,E01002215,26.808,19.5,11.9,26.808,3,3,12263,3,2
S,S01007786,26.84622336,14,10,26.80740124,3,3,12264,3,2
E,E01000558,26.806,14.9,12.1,26.806,3,3,12265.5,3,2
E,E01018990,26.806,16.2,11.6,26.806,3,3,12265.5,3,2
S,S01009809,28.83439318,17,14,26.80559536,3,3,12267,3,2
E,E01003589,26.805,16.5,7.4,26.805,3,3,12268,3,2
E,E01013915,26.804,13,12.6,26.804,3,3,12269.5,3,2
E,E01001578,26.804,19,11.5,26.804,3,3,12269.5,3,2
E,E01008219,26.803,18.1,16.5,26.803,3,3,12271.5,3,2
E,E01033123,26.803,13.5,10.2,26.803,3,3,12271.5,3,2
E,E01015731,26.802,17.9,10,26.802,3,3,12273,3,2
E,E01026325,26.801,20.2,15.7,26.801,3,3,12275.5,3,2
E,E01020653,26.801,19.8,15.5,26.801,3,3,12275.5,3,2
E,E01026311,26.801,19.7,11.9,26.801,3,3,12275.5,3,2
E,E01011444,26.801,7.4,5.5,26.801,3,3,12275.5,3,2
E,E01003618,26.797,12.1,6,26.797,3,3,12278,3,2
E,E01018454,26.796,18.1,11.6,26.796,3,3,12279,3,2
S,S01008143,29.37629596,20,14,26.79551885,3,3,12280,3,2
E,E01021852,26.794,17.4,12.3,26.794,3,3,12281,3,2
W,W01000706,23.1,18,11,26.79216467,4,3,12282,3,2
E,E01023957,26.79,16.5,11.1,26.79,3,3,12283.5,3,2
E,E01015386,26.79,17.5,10.7,26.79,3,3,12283.5,3,2
E,E01017184,26.788,14.5,9.6,26.788,3,3,12285,3,2
E,E01020669,26.784,19,16,26.784,3,3,12286.5,3,2
E,E01027154,26.784,14.7,8.1,26.784,3,3,12286.5,3,2
E,E01003581,26.783,14.7,8,26.783,3,3,12288,3,2
S,S01006719,28.45535105,17,13,26.78099825,3,3,12289,3,2
E,E01005355,26.78,11.8,11.1,26.78,3,3,12290,3,2
S,S01009649,28.99653301,18,14,26.77839329,3,3,12291,3,2
E,E01017342,26.777,16.3,18.1,26.777,3,3,12292.5,3,2
E,E01016005,26.777,19.3,11.1,26.777,3,3,12292.5,3,2
E,E01009268,26.772,16.9,10,26.772,3,3,12294,3,2
S,S01011762,28.62931325,18,13,26.76903772,3,3,12295,3,2
E,E01007907,26.766,18.5,11.7,26.766,3,3,12296,3,2
S,S01011443,29.16998481,19,14,26.76577475,3,3,12297,3,2
E,E01005853,26.765,18.1,12.5,26.765,3,3,12298,3,2
S,S01006720,27.34995919,13,12,26.76492113,3,3,12299,3,2
E,E01020801,26.764,19.4,14,26.764,3,3,12300,3,2
S,S01007192,29.89281722,21,15,26.76112103,3,3,12301,3,2
E,E01032788,26.761,19.3,9.9,26.761,3,3,12302,3,2
E,E01001769,26.759,16.3,8.7,26.759,3,3,12303,3,2
W,W01001283,22.9,16,11,26.75557129,4,3,12304,3,2
E,E01019150,26.755,15.3,12.9,26.755,3,3,12305,3,2
E,E01033150,26.753,21.3,9.7,26.753,3,3,12306,3,2
E,E01006619,26.75,11.8,12,26.75,3,3,12307,3,2
S,S01012222,28.78385252,15,15,26.7488386,3,3,12308,3,2
W,W01001710,23.7,20,9,26.74814989,4,3,12309,3,2
E,E01010330,26.741,18.7,12.8,26.741,3,3,12310,3,2
E,E01001421,26.74,19,10.2,26.74,3,3,12311.5,3,2
E,E01027432,26.74,16.5,14.2,26.74,3,3,12311.5,3,2
E,E01017699,26.739,11.4,13.7,26.739,3,3,12313.5,3,2
E,E01030123,26.739,15.9,12.7,26.739,3,3,12313.5,3,2
E,E01027908,26.738,18,11.9,26.738,3,3,12315,3,2
W,W01001314,22.8,15,11,26.7372746,4,3,12316,3,2
E,E01017493,26.737,17.8,12.9,26.737,3,3,12317,3,2
S,S01009440,30.05631562,22,15,26.73567044,3,3,12318,3,2
E,E01016725,26.735,18,10.6,26.735,3,3,12319.5,3,2
E,E01006466,26.735,17,11.9,26.735,3,3,12319.5,3,2
E,E01026750,26.731,13.3,16.6,26.731,3,3,12321,3,2
S,S01013050,30.75818199,18,19,26.72918959,3,3,12322,3,2
E,E01013719,26.729,22.9,9,26.729,3,3,12323.5,3,2
E,E01020633,26.729,19.8,15,26.729,3,3,12323.5,3,2
E,E01014942,26.727,15.1,14.3,26.727,3,3,12325,3,2
E,E01031079,26.725,15.4,14.8,26.725,3,3,12326,3,2
E,E01028525,26.724,17.7,10,26.724,3,3,12327.5,3,2
E,E01002610,26.724,17.8,11,26.724,3,3,12327.5,3,2
