LSOA11CD,Income_Deprived_Count
W01001161,325
W01001162,495
W01001164,270
W01001165,195
W01001166,435
W01001167,290
W01001168,275
W01001169,610
W01001170,70
W01001171,215
W01001172,215
W01001173,435
W01001174,495
W01001175,275
W01001176,290
W01001177,255
W01001178,285
W01001179,505
W01001180,550
W01001181,320
W01001182,240
W01001183,225
W01001184,240
W01001185,400
W01001186,260
W01001187,225
W01001188,370
W01001189,335
W01001190,170
W01001191,220
W01001192,415
W01001193,75
W01001194,90
W01001195,195
W01001196,100
W01001197,35
W01001198,120
W01001199,135
W01001200,190
W01001201,385
W01001202,540
W01001203,525
W01001204,180
W01001205,300
W01001206,300
W01001207,525
W01001208,360
W01001209,645
W01001210,350
W01001211,400
W01001212,360
W01001213,245
W01001214,125
W01001215,280
W01001216,320
W01001217,310
W01001218,280
W01001219,390
W01001220,250
W01001221,485
W01001222,685
W01001223,80
W01001224,45
W01001225,55
W01001226,255
W01001227,115
W01001228,180
W01001229,220
W01001230,185
W01001231,350
W01001232,295
W01001233,230
W01001234,215
W01001235,415
W01001236,160
W01001237,400
W01001238,690
W01001239,415
W01001240,185
W01001241,235
W01001242,90
W01001243,330
W01001244,105
W01001245,65
W01001246,160
W01001247,355
W01001248,390
W01001249,310
W01001250,180
W01001251,540
W01001252,105
W01001253,285
W01001255,465
W01001256,230
W01001257,120
W01001258,230
W01001259,350
W01001260,365
W01001261,305
W01001262,210
W01001263,140
W01001264,95
W01001265,315
W01001266,445
W01001267,400
W01001268,350
W01001269,235
W01001270,265
W01001271,360
W01001272,310
W01001273,280
W01001274,590
W01001275,460
W01001276,455
W01001277,80
W01001278,215
W01001279,340
W01001280,495
W01001281,260
W01001282,495
W01001283,235
W01001284,70
W01001285,215
W01001286,305
W01001287,355
W01001288,440
W01001289,235
W01001290,375
W01001291,320
W01001292,605
W01001293,335
W01001294,60
W01001295,405
W01001296,225
W01001297,285
W01001298,405
W01001299,615
W01001300,640
W01001301,620
W01001302,235
W01001303,395
W01001304,200
W01001305,165
W01001306,165
W01001307,470
W01001308,595
W01001309,375
W01001310,220
W01001311,180
W01001312,320
W01001313,255
W01001314,340
W01001315,340
W01001316,310
W01001317,345
W01001318,170
W01001319,115
W01001320,235
W01001321,290
W01001322,285
W01001324,295
W01001325,400
W01001326,665
W01001327,250
W01001328,285
W01001329,255
W01001330,325
W01001331,375
W01001332,510
W01001333,395
W01001334,465
W01001335,185
W01001336,265
W01001337,265
W01001338,330
W01001339,615
W01001340,125
W01001341,530
W01001342,85
W01001343,100
W01001344,240
W01001345,640
W01001346,290
W01001347,215
W01001348,480
W01001349,140
W01001350,245
W01001351,100
W01001352,475
W01001353,355
W01001354,215
W01001355,320
W01001356,90
W01001357,155
W01001358,395
W01001359,210
W01001360,185
W01001361,300
W01001362,415
W01001363,305
W01001364,590
W01001365,370
W01001366,205
W01001367,210
W01001368,375
W01001369,285
W01001370,245
W01001371,400
W01001372,210
W01001373,270
W01001374,320
W01001375,360
W01001376,500
W01001377,195
W01001378,340
W01001379,200
W01001380,205
W01001381,435
W01001382,210
W01001383,260
W01001384,270
W01001385,380
W01001386,600
W01001387,280
W01001388,470
W01001389,170
W01001390,110
W01001391,255
W01001392,140
W01001393,300
W01001394,55
W01001395,320
W01001396,450
W01001397,175
W01001398,230
W01001399,160
W01001400,515
W01001401,365
W01001402,400
W01001403,250
W01001404,70
W01001405,420
W01001406,470
W01001407,150
W01001408,345
W01001409,175
W01001410,355
W01001411,275
W01001412,250
W01001413,325
W01001414,395
W01001415,280
W01001416,200
W01001417,105
W01001418,345
W01001419,170
W01001420,115
W01001421,730
W01001422,500
W01001423,65
W01001424,260
W01001425,165
W01001426,75
W01001427,80
W01001428,545
W01001429,240
W01001430,370
W01001431,200
W01001432,350
W01001433,215
W01001434,60
W01001435,235
W01001436,305
W01001437,200
W01001438,290
W01001439,195
W01001440,280
W01001441,325
W01001442,105
W01001443,280
W01001444,395
W01001445,225
W01001446,185
W01001447,395
W01001448,240
W01001449,280
W01001450,235
W01001451,360
W01001452,135
W01001453,445
W01001454,270
W01001455,345
W01001456,330
W01001457,605
W01001458,210
W01001459,365
W01001460,330
W01001461,300
W01001462,250
W01001463,230
W01001464,440
W01001465,425
W01001466,370
W01001467,525
W01001468,300
W01001469,440
W01001470,155
W01001471,510
W01001472,155
W01001473,495
W01001474,315
W01001475,145
W01001476,245
W01001477,275
W01001478,205
W01001479,605
W01001480,445
W01001481,495
W01001482,290
W01001483,465
W01001484,215
W01001485,335
W01001486,240
W01001487,320
W01001488,440
W01001489,320
W01001490,220
W01001491,395
W01001492,335
W01001493,305
W01001494,135
W01001495,200
W01001496,320
W01001497,315
W01001498,320
W01001499,160
W01001500,60
W01001501,380
W01001502,105
W01001503,380
W01001504,300
W01001505,170
W01001506,385
W01001507,250
W01001508,70
W01001509,45
W01001510,220
W01001511,235
W01001512,45
W01001513,60
W01001514,80
W01001515,160
W01001516,295
W01001517,155
W01001518,75
W01001519,425
W01001520,220
W01001521,255
W01001522,325
W01001523,245
W01001524,335
W01001525,445
W01001526,350
W01001527,280
W01001528,185
W01001529,470
W01001530,765
W01001531,395
W01001532,435
W01001533,65
W01001534,210
W01001535,155
W01001536,395
W01001537,100
W01001538,395
W01001539,325
W01001540,130
W01001541,220
W01001542,145
W01001543,100
W01001545,95
W01001546,410
W01001548,135
W01001549,65
W01001551,185
W01001552,35
W01001553,330
W01001554,140
W01001555,45
W01001556,115
W01001557,280
W01001558,305
W01001559,125
W01001560,35
W01001561,80
W01001562,180
W01001563,160
W01001564,295
W01001565,105
W01001566,120
W01001567,100
W01001568,100
W01001569,135
W01001571,110
W01001572,130
W01001573,85
W01001574,80
W01001575,90
W01001576,175
W01001577,290
W01001578,140
W01001579,105
W01001580,255
W01001581,130
W01001582,190
W01001583,90
W01001584,245
W01001585,30
W01001586,150
W01001587,240
W01001588,100
W01001589,255
W01001590,80
W01001591,55
W01001592,415
W01001593,265
W01001594,125
W01001595,45
W01001596,85
W01001597,70
W01001598,295
W01001599,305
W01001600,80
W01001601,470
W01001602,110
W01001603,215
W01001604,90
W01001605,275
W01001606,90
W01001607,565
W01001608,135
W01001609,530
W01001610,310
W01001611,235
W01001612,230
W01001613,180
W01001614,480
W01001615,250
W01001616,135
W01001617,490
W01001618,280
W01001619,490
W01001620,360
W01001621,385
W01001622,210
W01001623,115
W01001624,55
W01001625,90
W01001626,140
W01001627,75
W01001628,275
W01001629,165
W01001630,420
W01001631,130
W01001632,310
W01001633,500
W01001634,290
W01001635,80
W01001636,100
W01001637,165
W01001638,50
W01001639,130
W01001640,45
W01001641,50
W01001642,400
W01001643,470
W01001644,515
W01001645,250
W01001646,540
W01001647,295
W01001648,215
W01001649,195
W01001650,275
W01001651,65
W01001652,695
W01001653,85
W01001654,150
W01001655,95
W01001657,55
W01001658,160
W01001659,750
W01001660,475
W01001661,960
W01001662,645
W01001663,410
W01001664,425
W01001665,335
W01001666,430
W01001667,480
W01001668,395
W01001669,30
W01001670,115
W01001671,325
W01001672,220
W01001673,60
W01001674,205
W01001675,205
W01001676,335
W01001677,150
W01001678,365
W01001679,95
W01001680,190
W01001681,485
W01001682,315
W01001683,140
W01001684,185
W01001685,405
W01001686,225
W01001687,550
W01001688,505
W01001689,690
W01001690,545
W01001691,375
W01001692,585
W01001693,575
W01001694,600
W01001695,785
W01001696,615
W01001697,450
W01001698,610
W01001699,855
W01001702,405
W01001703,420
W01001704,675
W01001705,565
W01001706,260
W01001707,660
W01001708,585
W01001709,300
W01001710,355
W01001711,455
W01001712,160
W01001713,295
W01001714,80
W01001715,175
W01001716,120
W01001717,255
W01001718,130
W01001719,80
W01001720,140
W01001721,145
W01001722,110
W01001724,60
W01001725,90
W01001726,205
W01001727,60
W01001728,50
W01001729,115
W01001730,55
W01001731,95
W01001732,85
W01001733,110
W01001734,60
W01001735,105
W01001736,65
W01001737,630
W01001738,695
W01001739,630
W01001740,650
W01001741,895
W01001742,675
W01001743,145
W01001744,670
W01001745,110
W01001746,530
W01001747,205
W01001748,310
W01001749,340
W01001750,480
W01001751,650
W01001752,120
W01001753,520
W01001754,210
W01001755,85
W01001756,415
W01001757,145
W01001758,155
W01001759,270
W01001760,320
W01001761,520
W01001762,680
W01001764,540
W01001765,360
W01001766,495
W01001767,410
W01001768,550
W01001769,40
W01001770,90
W01001771,80
W01001772,80
W01001773,200
W01001774,40
W01001775,140
W01001776,75
W01001777,55
W01001778,45
W01001779,60
W01001780,85
W01001781,170
W01001782,40
W01001783,75
W01001784,110
W01001785,435
W01001786,245
W01001787,315
W01001788,465
W01001789,140
W01001790,285
W01001791,160
W01001792,380
W01001793,75
W01001794,75
W01001795,65
W01001796,130
W01001797,135
W01001798,95
W01001799,65
W01001800,325
W01001802,310
W01001803,420
W01001804,405
W01001805,320
W01001806,220
W01001807,615
W01001808,655
W01001809,180
W01001810,535
W01001811,625
W01001812,310
W01001813,550
W01001814,210
W01001815,165
W01001816,685
W01001817,210
W01001818,260
W01001819,140
W01001820,105
W01001821,145
W01001822,250
W01001823,40
W01001824,175
W01001825,240
W01001826,70
W01001827,100
W01001828,85
W01001829,305
W01001830,330
W01001831,215
W01001832,210
W01001833,285
W01001834,285
W01001835,505
W01001836,155
W01001837,205
W01001838,185
W01001839,195
W01001840,235
W01001841,175
W01001842,125
W01001843,95
W01001844,200
W01001846,100
W01001847,45
W01001848,70
W01001849,70
W01001850,45
W01001851,85
W01001852,50
W01001853,65
W01001854,95
W01001855,645
W01001856,565
W01001857,670
W01001858,180
W01001859,155
W01001860,170
W01001861,165
W01001862,405
W01001863,250
W01001864,130
W01001865,125
W01001866,425
W01001867,505
W01001868,405
W01001869,275
W01001870,275
W01001871,640
W01001872,420
W01001873,580
W01001874,635
W01001875,620
W01001876,600
W01001877,160
W01001878,275
W01001879,590
W01001880,685
W01001881,500
W01001882,215
W01001883,555
W01001884,685
W01001885,565
W01001886,435
W01001887,40
W01001888,195
W01001889,175
W01001890,80
W01001891,220
W01001892,40
W01001893,265
W01001894,80
W01001895,370
W01001896,55
W01001897,120
W01001898,285
W01001899,320
W01001900,350
W01001901,140
W01001902,280
W01001903,155
W01001904,80
W01001905,115
W01001906,180
W01001907,105
W01001908,335
W01001909,505
W01001910,420
W01001911,290
W01001912,100
W01001913,105
W01001914,115
W01001915,65
W01001916,50
W01001917,205
W01001918,105
W01001919,55
W01001920,80
W01001921,205
W01001922,75
W01001923,245
W01001924,455
W01001925,325
W01001926,155
W01001927,260
W01001928,425
W01001929,215
W01001930,215
W01001931,380
W01001932,255
W01001933,185
W01001934,230
W01001935,90
W01001936,95
W01001937,215
W01001938,110
W01001939,25
W01001940,65
W01001941,15
W01001942,390
W01001943,95
W01001944,80
W01001945,60
W01001946,355
W01001947,80
W01001948,70
W01001949,160
W01001950,85
W01001951,85
W01001952,330
W01001953,205
W01001954,75
W01001955,710
W01001956,120
W01001957,195
W01001958,160
